"Timestamp","How much did you LIKE the previous page? (Be honest!)","How SURPRISING did the statistics feel to you? (regardless if you dis/liked the presentation style)","From 1910–2015, what was the % change in extreme poverty? (if decrease, type negative number)","From 1990–2016, what was the % change in air particle pollution? (if decrease, type negative number)","In 2016, what % of deaths were from homicide + war + terrorism combined?","In 2016, what % of world had at least one mental/substance disorder?","In 2016, what % of deaths were from heart disease?","From 1986–2014, what was the % change in nuclear warheads? (if decrease, type negative number)","From 1990–2016, what was the % change in the suicide death rate? (if decrease, type negative number)","In 2015, what % of people lived in a democracy?","From 1950–2015, what was the % change in the world's fertility rate? (if decrease, type negative number)","From 1959–2016, what was the % change in CO2 emissions? (if decrease, type negative number)","What's your age? (OPTIONAL)","What's your gender? (OPTIONAL)","What's the highest level of academic schooling you've completed so far? (OPTIONAL)"
"2019/01/10 11:48:50 AM EST","8","6","-88","25","1","34","34","-84","-33","56","-25","302","29","Male","Master's degree"
"2019/01/10 11:48:54 AM EST","8","4","-85","25","1","15","33","-75","-33","51","-51","304","24","Male","4-year college degree (Bachelor's)"
"2019/01/10 11:51:39 AM EST","5","7","","","1","15","","","","","","","","",""
"2019/01/10 11:52:15 AM EST","3","7","-50","30","1","15","30","-84","15","56","-50","22","40","male","Master's degree"
"2019/01/10 11:53:48 AM EST","8","7","-88","25","1","15","10","-80","-30","56","-52","300","32","Male","Master's degree"
"2019/01/10 11:55:13 AM EST","10","7","-70","+25","1","15","32","-83","-1","56","-53","+200","33","MALE","Master's degree"
"2019/01/10 11:57:09 AM EST","7","8","-88","200","1","15","35","-52","-53","73","-18","300","32","cis male","Master's degree"
"2019/01/10 11:57:50 AM EST","4","3","-50","50","1","25","58","-50","39","51","-51","302","34","Male","PhD or other advanced professional degree"
"2019/01/10 11:58:38 AM EST","4","5","-80","52","1","16","32","-88","-55","56","-50","302","21","","High school/Secondary school/GED"
"2019/01/10 11:59:10 AM EST","8","2","-80","20","1","15","20","-80","-15","50","-50","300","23","Male","Master's degree"
"2019/01/10 12:00:55 PM EST","6","8","-88","30","1","30","34","-84","-30","54","-50","302","33","female","Master's degree"
"2019/01/10 12:01:50 PM EST","8","6","-88","105","3","15","32","-45","-20","56","-55","302","32","F","PhD or other advanced professional degree"
"2019/01/10 12:05:39 PM EST","8","3","-65","302","1","15","32","-60","-31","56","-50","302","30","male","PhD or other advanced professional degree"
"2019/01/10 12:07:28 PM EST","7","7","-91","350","1","15","35","-90","-15","51","-84","350","30","male","4-year college degree (Bachelor's)"
"2019/01/10 12:08:08 PM EST","5","5","-50","-88","1","15","32","-80","50","52","-50","-30","34","male","Master's degree"
"2019/01/10 12:08:15 PM EST","9","5","88","25","1","30","35","84","50","54","51","302","31","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:11:09 PM EST","9","3","88","302","1","15","6","84","19","12","51","302","21","Cis female","High school/Secondary school/GED"
"2019/01/10 12:11:13 PM EST","6","5","-70","25","1","15","32","-30","-30","56","-30","300","26","male","4-year college degree (Bachelor's)"
"2019/01/10 12:15:59 PM EST","7","1","10","20","1","17","40","1","40","45","33","300","24","Male","2-year college degree (Associate's)"
"2019/01/10 12:16:24 PM EST","7","4","-88","30","1","15","32","-80","-33","56","-51","302","35","Female","PhD or other advanced professional degree"
"2019/01/10 12:18:10 PM EST","8","3","-50","302","1","36","15","-80","-30","50","-50","0","30","Female","PhD or other advanced professional degree"
"2019/01/10 12:19:08 PM EST","3","4","-80","32","1","15","36","-84","-33","56","-56","302","28","Agender","Master's degree"
"2019/01/10 12:19:38 PM EST","7","3","-20","-33","1","36","36","-88","-10","52","-52","82","48","m","Master's degree"
"2019/01/10 12:23:21 PM EST","8","9","18","302","1","25","6","2","16","56","32","302","17","Male","High school/Secondary school/GED"
"2019/01/10 12:24:39 PM EST","3","5","88","0","1","15","33","0","0","56","-53","0","33","Woman","4-year college degree (Bachelor's)"
"2019/01/10 12:25:33 PM EST","2","3","-50","0","1","10","33","-84","-30","54","-50","300","20","what","High school/Secondary school/GED"
"2019/01/10 12:25:44 PM EST","7","3","-89","84","30","15","33","-84","33","56","-58","302","20","nonbinary man","High school/Secondary school/GED"
"2019/01/10 12:26:42 PM EST","1","6","-84","25","1","302","25","-84","-25","54","-54","-34","26","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:27:40 PM EST","8","4","25","-25","1","80","10","85","10","52","-52","-32","37","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:28:53 PM EST","8","3","-88","35","1","15","32","-88","20","35","15","386","22","Male","2-year college degree (Associate's)"
"2019/01/10 12:30:02 PM EST","4","1","36","26","1","1","32","-23","24","56","26","40","21","Male","4-year college degree (Bachelor's)"
"2019/01/10 12:32:51 PM EST","2","7","-25","-25","1","16","32","-56","-5","56","-32","-12","28","Female","Master's degree"
"2019/01/10 12:34:34 PM EST","7","3","-30","+25","1","15","36","-80","-30","56","-55","+302","","Male","Master's degree"
